seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
45,,Pierre-Auguste Renoir《Dance at Bougival》布吉瓦尔之舞（1883）,Art of Europe 欧洲艺术（19 世纪法国绘画展厅）,,object,法国印象派绘画,10,8.5,8,8.5,8.5,7.5,0,9,8.5,8.5,8.750,8.250,S,A,变,Core 8.250 落在 7.2–8.49,high,《布吉瓦尔之舞》是雷诺阿舞蹈系列中最著名的作品之一，人物动作、明亮色彩和社交生活主题使其在MFA法国印象派展厅中具有很强的识别度。,组内第二位：雷诺阿《布吉瓦尔之舞》属于其“舞蹈”系列代表作，在馆内法国印象派叙事中仅次于莫奈核心作品。,
46,,Edgar Degas《The Little Dancer Aged Fourteen》十四岁的小舞者,Art of Europe 欧洲艺术（19 世纪法国雕塑）,,object,德加雕塑,1,9,9,8,9,9,0,10,10,8.5,9.700,8.920,S,S,,Core 8.920，峰值 9.0，S-ness 3/3,high,这是德加唯一生前展出的雕塑，真实纱裙与发带强化了其在现代雕塑史、舞者形象和1881年展览争议中的关键地位，也是MFA最具记忆点的作品之一。,组内唯一对象，且为德加唯一生前展出的雕塑、法国现代艺术中极具标志性的作品，因此品质与独特性均居最高位，并补足MFA法国艺术叙事中的雕塑环节。,S：十四岁的小舞者是德加雕塑及MFA欧洲艺术展陈中的标志性作品，公众辨识度和不可替代性都很高；三项均为真。
47,,Rembrandt van Rijn《Artist in his Studio》画室中的艺术家（约 1628）,Art of Europe 欧洲艺术（荷兰与佛兰德斯绘画）,,object,伦勃朗绘画,2,8.5,7.5,7.5,8,8.5,0,9,9,8.5,8.900,8.065,S,A,变,Core 8.065 落在 7.2–8.49,high,伦勃朗早期以画架背面遮蔽主体的构图是关于艺术创作的经典视觉隐喻，虽非其最顶尖肖像或历史画，仍具有很强的艺术史解释力。,组内居首：早期伦勃朗以画架背面与隐入阴影的画家形象构成极具辨识度的创作隐喻，代表性和叙事补位价值均高。,
48,,Rembrandt van Rijn《Portrait of Aeltje Uylenburgh》（1632）,Art of Europe 欧洲艺术（荷兰与佛兰德斯绘画）,,object,伦勃朗绘画,2,8,6.5,7,7,7.5,0,8,5,6.5,6.800,7.130,S,B,变,Core 7.130 落在 5.5–7.19,high,1632年的伦勃朗肖像具有成熟的明暗塑造和荷兰黄金时代社会史价值，但相较MFA更具标志性的名作，它在伦勃朗馆藏中的不可替代性较有限。,组内居次：肖像画品质可靠且可补充伦勃朗肖像创作与社交关系叙事，但相较《画室中的艺术家》类型重复性更高、独特代表性较弱。,
49,,Peter Paul Rubens《Mulay Ahmad》穆莱·艾哈迈德,Art of Europe 欧洲艺术（荷兰与佛兰德斯绘画）,,object,欧洲巴洛克人物肖像画,1,8.5,7.5,7.5,7.5,8.5,0,9,9,7.5,8.700,7.970,S,A,变,Core 7.970 落在 7.2–8.49,high,鲁本斯对突尼斯统治者的肖像兼具高水平巴洛克绘画价值与跨文化、权力表述的特殊叙事意义，但并非其最顶尖的全球代表作。,组内唯一对象，且以鲁本斯笔下非欧洲统治者肖像的跨文化主题具备高度代表性；在全馆欧洲巴洛克人物肖像叙事中承担独特补位作用。,
50,,Donatello《Madonna of the Clouds》云中圣母（浮雕）,Art of Europe 欧洲艺术（意大利文艺复兴）,,object,意大利文艺复兴圣母浮雕,1,9,8.5,7.5,7.5,9,0,9.5,9.5,8,9.200,8.445,S,A,变,Core 8.445 落在 7.2–8.49,high,这是多纳泰罗最具代表性的浅浮雕类型之一，能直接说明早期文艺复兴雕塑技法与空间观念，虽尺度和视觉冲击不如大型雕塑。,组内唯一对象，且为多纳泰罗“压扁浮雕”技法的代表性名作，在意大利文艺复兴雕塑叙事中不可重复。,
51,,Sandro Botticelli《Virgin and Child with Saint John the Baptist》圣母子与施洗者约翰,Art of Europe 欧洲艺术（意大利绘画）,,object,意大利文艺复兴圣母子绘画,1,6.5,5.5,6.5,6.5,6.5,0,7,8,5.5,7.000,6.300,S,B,变,Core 6.300 落在 5.5–7.19,high,作品属于波提切利工作室而非明确的波提切利亲笔，题材典型、观赏性尚可，但在全馆文艺复兴绘画中更接近常规精品。,组内唯一的意大利文艺复兴圣母子绘画，虽属波提切利工作室而非明确的艺术家亲笔代表作，但在本组中具有最高的类别代表性；可补充MFA欧洲艺术叙事中的意大利文艺复兴宗教绘画环节。,
52,,J.M.W. Turner《Slave Ship》奴隶船（1840）,Art of Europe 欧洲艺术（英国绘画）,,object,英国浪漫主义历史题材绘画,1,10,9.5,9,9.5,10,0,10,9.5,8.5,9.550,9.605,S,S,,Core 9.605，峰值 10.0，S-ness 3/3,high,《奴隶船》是透纳最著名且最具争议的作品之一，以极强的色彩和戏剧性呈现跨大西洋奴隶贸易暴行，也是MFA英国绘画展陈的核心标志。,组内唯一对象，且为透纳最具代表性的历史题材名作，在MFA英国浪漫主义绘画中具有不可替代的核心地位。,S：奴隶船兼具透纳代表性、历史伦理重量与MFA英国绘画核心地位；两小时必看，错过明显可惜，失去会直接损害馆藏身份。
53,,Vincent van Gogh《Postman Joseph Roulin》邮差约瑟夫·鲁兰（1888）,Art of Europe 欧洲艺术（后印象派）,,object,法国后印象派人物肖像画,1,9,9,9,9.5,8.5,0,9.5,9.5,8.5,9.300,9.030,S,S,,Core 9.030，峰值 9.5，S-ness 2/3,high,这幅阿尔勒时期的鲁兰肖像兼具梵高成熟笔触、鲜明色彩和人物关系叙事，是MFA后印象派展厅中极具辨识度的核心作品。,组内仅此一件法国后印象派人物肖像，作为梵高阿尔勒时期代表作兼具最高典范性与本馆该类唯一性，并补足法国现代艺术叙事。,S：鲁兰肖像是MFA重要的梵高看点，两小时仍值得安排，错过会明显可惜；但梵高并非本馆唯一的身份支柱，馆内仍有其他欧洲名作可支撑这一板块。
54,,Edgar Degas《Racehorses at Longchamp》隆尚的赛马,Art of Europe 欧洲艺术（法国绘画）,,object,法国印象派现代生活题材绘画,1,8,7.5,8,8,7.5,0,8.8,9.2,8.5,8.860,7.886,S,A,变,Core 7.886 落在 7.2–8.49,high,德加的赛马构图是其现代生活题材的重要类型，画面动作与视角具有鲜明视觉吸引力，并被馆方列为法国绘画代表作。,组内唯一对象，且为德加赛马题材代表作，在法国印象派现代生活叙事中具有不可替代的补位价值。,
55,,Camille Pissarro《Two Peasant Women in a Meadow (Le Pré)》草地上的两个农妇,Art of Europe 欧洲艺术（法国绘画）,,object,法国印象派乡村风景绘画,1,7.5,6.5,7,6.5,7.5,0,7.5,8,6.5,7.450,7.020,S,B,变,Core 7.020 落在 5.5–7.19,high,作品体现毕沙罗点彩期对乡村劳动者与光色关系的处理，艺术史价值扎实，但在MFA的法国绘画板块中仍属于较强而非最具标志性的作品。,组内唯一的法国印象派乡村风景绘画，因无同类对象可重复替代而具较高独特性，但在全馆法国印象派核心叙事中仍不及莫奈等代表作。,
56,,Mariano Fortuny y Carbó《Antiquaries》古董商,Art of Europe 欧洲艺术（西班牙绘画）,,object,西班牙十九世纪风俗绘画,1,7.5,7.5,8,8,7,0,7.5,8,5.5,7.250,7.550,S,A,变,Core 7.550 落在 7.2–8.49,high,福图尼的《古董商》以精细笔触和异国情调的室内场景体现十九世纪西班牙绘画特色，作为馆方代表作具有较强现场吸引力。,组内仅此一件十九世纪西班牙风俗画，因而具备本馆此类的唯一代表性；作品本身质量较高，但并非MFA最核心的西班牙或欧洲馆藏支柱。,
57,,Joachim Fries 款《Diana and Stag》狄安娜与牡鹿自动机（automaton）,Art of Europe 欧洲艺术（Kunstkammer 珍奇柜展厅）,,object,欧洲珍奇柜机械器物,1,8,8,8,8.5,9,0,8.5,9.5,7.5,8.600,8.285,S,A,变,Core 8.285 落在 7.2–8.49,high,这件奥格斯堡自动机结合机械技术、宴会娱乐与珍奇柜文化，互动机制和稀有类型能有效解释近代欧洲宫廷收藏与工艺观念。,组内唯一的欧洲珍奇柜机械自动机，代表奥格斯堡早期机械工艺与宴享文化，在本组中无同类可重复，因而D取高值。,
58,,哥特式《哀悼基督》群雕 Lamentation over the body of Christ,Art of Europe 欧洲艺术（中世纪艺术）,,object,欧洲哥特式宗教群雕,1,8,7.5,8.5,8,8.5,0,8.5,8.5,6.5,8.100,8.035,B,A,变,Core 8.035 落在 7.2–8.49,high,《哀悼基督》群雕以群像构图和强烈哀痛表情体现晚期哥特式宗教雕塑的情感化倾向，并被馆方列为哥特式雕塑代表作。,组内唯一的欧洲哥特式宗教群雕，作为晚期哥特式宗教雕塑情感表达的代表，独特性高；但在MFA整体叙事中属于重要而非核心身份板块。,
59,,罗马式雕刻柱础（罗慕路斯与雷穆斯题材）,Art of Europe 欧洲艺术（中世纪艺术）,,object,欧洲罗马式建筑雕刻构件,1,7.5,6.5,6.5,6,8,0,7.5,8,6.5,7.450,6.945,B,B,,Core 6.945 落在 5.5–7.19,high,罗慕路斯与雷穆斯题材显示罗马式艺术对古典神话和地方身份叙事的转化，具有教育价值，但建筑构件的残片性质限制了直观冲击力。,组内唯一的罗马式建筑雕刻构件，且以罗慕路斯与雷穆斯题材呈现中世纪欧洲对古典罗马传说的转化，代表性与非重复性均居本组最高。,
60,,Anthony Nelme 款 银质暖锅 Chafing dish,"Art of Europe 欧洲艺术（Level 2, Gallery 250 汉诺威银器）",,object,英国十八世纪银质餐饮器皿,1,7,7.5,7.5,7,7.5,0,8,8,5,7.400,7.315,S,A,变,Core 7.315 落在 7.2–8.49,high,银质暖锅能具体展示英国贵族餐饮、银工艺与社会礼仪，MFA英国银器收藏在美国的突出地位提升了其馆内意义，但单件仍非全馆身份的最高标志。,组内唯一对象，作为英国十八世纪银质餐饮器皿的代表性实例具有较高典范度，但对MFA核心身份与文明叙事的补位价值有限。,
61,,Auguste Rodin《Eternal Springtime》永恒的春天,Art of Europe 欧洲艺术（欧洲雕塑）,,object,法国19世纪雕塑,1,8.5,6.5,8.5,8.5,7,0,9,8.5,7,8.450,7.770,S,A,变,Core 7.770 落在 7.2–8.49,high,罗丹的代表性雕塑具有强烈的动态与情感表现，在欧洲雕塑展厅中视觉吸引力突出，但并非MFA最核心的身份板块。,组内唯一对象，且《永恒的春天》是罗丹广为人知的代表作，在法国19世纪雕塑叙事中具有较强典范性；但该板块并非MFA最核心的馆藏身份。,
62,,《圣马丁与乞丐》手抄本插图 St. Martin and the Beggar,Art of Europe 欧洲艺术（欧洲手抄本）,,object,欧洲中世纪泥金装饰手抄本,1,7,5.5,6,6,7,0,7.5,8.5,5.5,7.400,6.365,B,B,,Core 6.365 落在 5.5–7.19,medium,作为中世纪泥金装饰手抄本的馆方代表作，它能说明宗教图像与手抄本文化，但现有资料不足以支持其达到该类世界顶尖水平。,组内唯一的欧洲中世纪泥金装饰手抄本代表作，非重复性高，但在MFA整体叙事中属于欧洲艺术的补充环节而非核心板块。,
63,,Giovanni Paolo Pannini《Picture Gallery with Views of Modern Rome》现代罗马景观画廊（1757，布面油画）,Art of Europe 欧洲艺术（欧洲绘画精选）,,object,18世纪意大利绘画,1,8,6.5,8.5,8,8.5,0,8.5,8.5,7.5,8.300,7.805,S,A,变,Core 7.805 落在 7.2–8.49,high,帕尼尼以虚构画廊汇聚罗马名胜的构图兼具视觉奇观与壮游文化叙事，是18世纪意大利绘画中的强作，但不属于MFA身份核心。,组内唯一的18世纪意大利绘画对象，以帕尼尼“画中画”杰作代表罗马景观、壮游文化与欧洲绘画叙事，因无同类可重复而取高D。,
64,,带盖椰壳杯 Covered coconut cup,Art of Europe 欧洲艺术（荷兰装饰艺术）,,object,荷兰黄金时代装饰艺术器皿,1,6,5.5,6.5,6.5,7,0,7,8.5,3,6.650,6.240,S,B,变,Core 6.240 落在 5.5–7.19,high,椰壳与银质镶座结合的炫耀性器物具有鲜明的异域贸易与荷兰收藏文化信息，但在百科全书式馆藏中属于可替代的精品。,组内唯一对象，作为荷兰黄金时代以进口椰壳结合银饰制作的炫耀性器皿，代表性与非重复性最高，但对MFA核心叙事的补位作用有限。,
65,,《门卡乌拉王与王后》King Menkaura (Mycerinus) and queen（埃及古王国第四王朝，公元前 2490–2472，杂砂岩）,Level 1 — Ancient Egypt 古埃及展厅,,object,埃及古王国王室雕像,1,10,10,9.5,9.5,10,0,10,10,10,10.000,9.850,S,S,,Core 9.850，峰值 10.0，S-ness 3/3,high,门卡乌拉王与王后像是世界级古王国雕塑，也是MFA埃及收藏最具标志性的考古出土杰作之一，兼具王权、肖像与考古语境价值。,组内唯一对象，且为MFA埃及古王国雕塑的标志性代表，兼具世界级典范性与吉萨考古叙事的核心补位价值。,S：门卡乌拉王与王后是MFA埃及馆乃至全球古王国雕塑的绝对锚点；两小时必看，错过明显可惜，失去会严重削弱本馆身份。
66,,杰胡提纳赫特外棺前侧板 Outer coffin of Djehutynakht（中王国，公元前 2010–1961，雪松木）,"Level 1, Gallery 119 — Egyptian Funerary Arts 埃及丧葬艺术",,object,埃及中王国彩绘棺椁,1,9,8.5,8.5,8,9.5,0,9.5,9.5,9.5,9.500,8.775,S,A,变,Core 8.775 达标但 S-ness 仅 1/3 通过，降 A,high,杰胡提纳赫特墓葬棺板保存精良且有明确联合考古出土背景，能够集中呈现中王国葬仪、绘画与随葬体系，是MFA埃及板块的重要锚点。,组内唯一对象，且兼具保存极佳的中王国彩绘棺板、明确的哈佛—MFA考古语境及丰富随葬模型关联，在本馆埃及考古叙事中代表性突出。,A：它是杰胡提纳赫特棺群的重要组成部分，漏看会有遗憾；但作为单独一块前侧板，两小时优先级低于带有著名面孔的棺板或完整棺群，单独消失也不会明显改写MFA身份。
67,,有翼伊西斯胸饰 Winged Isis pectoral（努比亚纳帕塔时期，公元前 538–519，黄金）,Level 1 — Nubian Art 努比亚艺术展厅,,object,努比亚纳帕塔时期金饰,1,8.5,8.5,8,8,8.5,0,9,9.5,8,8.950,8.395,S,A,变,Core 8.395 落在 7.2–8.49,high,纳帕塔王室黄金胸饰结合稀有材质、宗教图像与联合考古出土背景，在MFA规模和重要性突出的努比亚收藏中具有较强代表性。,组内唯一对象，且为哈佛—MFA考古出土的纳帕塔王室黄金胸饰，在本馆努比亚收藏中具有最高的类型代表性与不可重复性。,
68,,拳形银质饮器 Drinking vessel in the shape of a fist（安纳托利亚赫梯新王国，公元前 14 世纪，银）,Level 1 — Ancient Near Eastern Art 古代近东艺术,,object,古代近东金属器,1,8.5,6.5,7,7.5,8.5,0,8.5,9.5,7,8.500,7.625,S,A,变,Core 7.625 落在 7.2–8.49,high,赫梯银质拳形饮器因存世稀少、造型独特并带有乐师刻饰，能有效说明赫梯金属工艺与礼仪文化，但古代近东并非MFA最核心板块。,组内唯一的赫梯新王国银质饮器，且以拳形造型和腕部乐师刻饰补足MFA古代近东金属器叙事，因此在本组代表性最高。,
69,,巴比伦釉砖行狮 Striding lion（新巴比伦，釉面砖）,Level 1 — Ancient Near Eastern Art 古代近东艺术,,object,古代近东建筑装饰与浮雕,1,9,7,8.5,8.5,9.5,0,9.5,9.5,8.5,9.300,8.455,B,A,变,Core 8.455 落在 7.2–8.49,high,伊什塔尔门仪仗大道的釉砖行狮具有鲜明的建筑尺度、色彩和巴比伦帝国叙事，是古代近东展区的代表性视觉焦点。,组内唯一对象，作为新巴比伦巴比伦城建筑装饰与釉砖艺术的代表性遗存，在馆内同类中无直接重复。,
70,,《普塔赫赫努维夫妇像》Statues of Ptahkhenuwy and his wife（古王国）,Level 1 — Egyptian Art 埃及艺术展厅,,object,埃及古王国私人墓葬雕像,1,8.5,7.5,7.5,7,8.5,0,8.5,8.5,8.0,8.400,7.865,S,A,变,Core 7.865 落在 7.2–8.49,medium,古王国夫妇像体现埃及私人墓葬雕像的类型与社会观念，并被馆方列为埃及艺术代表作，但相较MFA的旗舰埃及杰作其不可替代性稍低。,组内唯一对象，作为古王国私人墓葬夫妇雕像代表，兼具较高典范性与不可替代性，并补充埃及考古叙事中的私人葬仪与社会身份环节。,
